Ecoregion,Huc12
C,030102050301
C,030102050302
C,030102050303
C,030102050304
C,030102050305
C,030102050401
C,030102050402
C,030102050403
C,030102050404
C,030102050405
C,030102050406
C,030102050501
C,030102050502
C,030102050503
C,030102050504
C,030102050605
C,030102050606
C,030102050701
C,030102050702
C,030102050703
C,030102050704
C,030102050705
C,030102050706
C,030102050707
C,030102050708
C,030102050709
C,030102050801
C,030102050802
C,030102050803
C,030102050804
C,030102050805
C,030102050806
C,030102050807
C,030102050808
C,030102050809
C,030102050901
C,030102050902
C,030102050903
C,030102050904
C,030102050905
C,030102050906
C,030102050907
C,030102051001
C,030102051002
C,030102051003
C,030102051102
C,030102051103
C,030102051104
C,030102051105
C,030102051106
C,030102051107
C,030102051108
C,030102051206
C,030102051207
C,030102051303
C,030102051304
C,030102051305
C,030102051306
C,030102051401
C,030102051402
C,030102051403
C,030102051404
C,030102051405
C,030102051406
C,030102051407
C,030102051501
C,030102051502
C,030102051503
C,030102051504
C,030102051505
C,030102051506
C,030102051507
C,030201010501
C,030201010502
C,030201010503
C,030201010504
C,030201010602
C,030201010603
C,030201010604
C,030201010605
C,030201010606
C,030201010607
C,030201010706
C,030201010801
C,030201010802
C,030201010803
C,030201010901
C,030201010902
C,030201010903
C,030201010904
C,030201020204
C,030201020206
C,030201020304
C,030201020401
C,030201020402
C,030201020403
C,030201020404
C,030201020405
C,030201020501
C,030201020502
C,030201020503
C,030201020504
C,030201020601
C,030201020602
C,030201020603
C,030201020604
C,030201020605
C,030201020606
C,030201030101
C,030201030102
C,030201030103
C,030201030104
C,030201030105
C,030201030106
C,030201030107
C,030201030201
C,030201030202
C,030201030203
C,030201030204
C,030201030301
C,030201030302
C,030201030303
C,030201030304
C,030201030305
C,030201030401
C,030201030402
C,030201030403
C,030201030404
C,030201030501
C,030201030502
C,030201030503
C,030201030504
C,030201030505
C,030201030506
C,030201030507
C,030201030601
C,030201030602
C,030201030603
C,030201030604
C,030201030605
C,030201030606
C,030201040101
C,030201040102
C,030201040103
C,030201040104
C,030201040105
C,030201040106
C,030201040107
C,030201040108
C,030201040109
C,030201040201
C,030201040202
C,030201040203
C,030201040204
C,030201040205
C,030201040206
C,030201040207
C,030201040301
C,030201040302
C,030201040303
C,030201040304
C,030201040305
C,030201040401
C,030201040402
C,030201040403
C,030201040404
C,030201040501
C,030201040502
C,030201040503
C,030201040504
C,030201040505
C,030201040601
C,030201040602
C,030201040603
C,030201040604
C,030201040701
C,030201040702
C,030201040703
C,030201050101
C,030201050102
C,030201050103
C,030201050104
C,030201050105
C,030201050106
C,030201050107
C,030201050108
C,030201050201
C,030201050202
C,030201050203
C,030201050204
C,030201050205
C,030201050206
C,030201050207
C,030201050301
C,030201050302
C,030201050303
C,030201050304
C,030201050305
C,030201050306
C,030202010901
C,030202010902
C,030202010903
C,030202011002
C,030202011004
C,030202011005
C,030202011006
C,030202011007
C,030202011103
C,030202011104
C,030202011105
C,030202011201
C,030202011202
C,030202011203
C,030202011301
C,030202011302
C,030202011303
C,030202011304
C,030202011305
C,030202011306
C,030202011401
C,030202011402
C,030202011403
C,030202011404
C,030202011503
C,030202011504
C,030202011505
C,030202011601
C,030202011602
C,030202011603
C,030202011604
C,030202011701
C,030202011702
C,030202011703
C,030202011704
C,030202011705
C,030202020101
C,030202020102
C,030202020103
C,030202020104
C,030202020105
C,030202020106
C,030202020107
C,030202020201
C,030202020202
C,030202020203
C,030202020204
C,030202020205
C,030202020206
C,030202020301
C,030202020302
C,030202020303
C,030202020304
C,030202020305
C,030202020306
C,030202020307
C,030202020401
C,030202020402
C,030202020403
C,030202020404
C,030202020405
C,030202020501
C,030202020502
C,030202020503
C,030202020504
C,030202020505
C,030202020506
C,030202020601
C,030202020602
C,030202020603
C,030202020604
C,030202020605
C,030202020606
C,030202020607
C,030202030102
C,030202030103
C,030202030104
C,030202030105
C,030202030201
C,030202030202
C,030202030203
C,030202030301
C,030202030302
C,030202030303
C,030202030304
C,030202030401
C,030202030402
C,030202030403
C,030202030404
C,030202030405
C,030202030501
C,030202030502
C,030202030503
C,030202030504
C,030202030505
C,030202030601
C,030202030602
C,030202030603
C,030202030604
C,030202030605
C,030202030701
C,030202030702
C,030202030703
C,030202030704
C,030202030705
C,030202030706
C,030202040101
C,030202040102
C,030202040103
C,030202040104
C,030202040105
C,030202040106
C,030202040201
C,030202040202
C,030202040203
C,030202040204
C,030202040205
C,030202040206
C,030202040301
C,030202040302
C,030202040303
C,030202040304
C,030202040305
C,030202040401
C,030202040402
C,030202040403
C,030202040404
C,030202040501
C,030202040502
C,030202040503
C,030202040504
C,030202040505
C,030202040601
C,030202040602
C,030202040603
C,030202040604
C,030202040605
C,030202040701
C,030202040702
C,030202040703
C,030202040704
C,030202040705
C,030202040801
C,030202040802
C,030202040803
C,030202040804
C,030202040805
C,030202040901
C,030202040902
C,030202040904
C,030202040905
C,030202040906
C,030202040907
C,030203010101
C,030203010102
C,030203010103
C,030203010104
C,030203010105
C,030203010106
C,030203010201
C,030203010202
C,030203010203
C,030203010204
C,030203010205
C,030203010206
C,030203010301
C,030203010302
C,030203010303
C,030203010304
C,030203010401
C,030203010402
C,030203010403
C,030203010404
C,030203010405
C,030203010406
C,030203010501
C,030203010502
C,030203010503
C,030203010601
C,030203010602
C,030203010603
C,030203010604
C,030203010701
C,030203010702
C,030203010703
C,030203010704
C,030203020101
C,030203020102
C,030203020103
C,030203020104
C,030203020105
C,030203020201
C,030203020202
C,030203020203
C,030203020204
C,030203020205
C,030203020206
C,030203020207
C,030203020208
C,030203020209
C,030203020210
C,030203020301
C,030203020302
C,030203020401
C,030203020402
C,030203020403
C,030203020501
C,030203020502
C,030300030603
C,030300030606
C,030300030607
C,030300040101
C,030300040102
C,030300040103
C,030300040105
C,030300040106
C,030300040201
C,030300040202
C,030300040203
C,030300040204
C,030300040205
C,030300040206
C,030300040407
C,030300040408
C,030300040409
C,030300040501
C,030300040502
C,030300040503
C,030300040504
C,030300040505
C,030300040506
C,030300040604
C,030300040606
C,030300040607
C,030300040609
C,030300040610
C,030300040611
C,030300040701
C,030300040702
C,030300040703
C,030300040704
C,030300040705
C,030300040706
C,030300040707
C,030300050101
C,030300050102
C,030300050103
C,030300050104
C,030300050201
C,030300050202
C,030300050203
C,030300050204
C,030300050205
C,030300050206
C,030300050301
C,030300050302
C,030300050303
C,030300050401
C,030300050402
C,030300050403
C,030300050404
C,030300050405
C,030300050406
C,030300050407
C,030300050501
C,030300050502
C,030300050503
C,030300050504
C,030300050601
C,030300050602
C,030300050603
C,030300050701
C,030300050702
C,030300050703
C,030300050704
C,030300050801
C,030300050802
C,030300050803
C,030300060101
C,030300060102
C,030300060103
C,030300060104
C,030300060105
C,030300060106
C,030300060107
C,030300060201
C,030300060202
C,030300060203
C,030300060204
C,030300060205
C,030300060206
C,030300060207
C,030300060208
C,030300060301
C,030300060302
C,030300060303
C,030300060304
C,030300060305
C,030300060401
C,030300060402
C,030300060403
C,030300060404
C,030300060405
C,030300060406
C,030300060407
C,030300060408
C,030300060501
C,030300060502
C,030300060503
C,030300060504
C,030300060505
C,030300060506
C,030300060507
C,030300060508
C,030300060509
C,030300060510
C,030300060601
C,030300060602
C,030300060603
C,030300060701
C,030300060702
C,030300060703
C,030300060704
C,030300060801
C,030300060802
C,030300060803
C,030300060804
C,030300060805
C,030300060806
C,030300060807
C,030300070101
C,030300070102
C,030300070103
C,030300070104
C,030300070105
C,030300070201
C,030300070202
C,030300070203
C,030300070204
C,030300070205
C,030300070206
C,030300070301
C,030300070302
C,030300070303
C,030300070304
C,030300070305
C,030300070306
C,030300070307
C,030300070401
C,030300070402
C,030300070403
C,030300070404
C,030300070405
C,030300070501
C,030300070502
C,030300070503
C,030300070504
C,030300070505
C,030300070506
C,030300070601
C,030300070602
C,030300070603
C,030300070604
C,030300070605
C,030300070606
C,030300070607
C,030300070608
C,030300070609
C,030300070610
C,030300070611
C,030300070701
C,030300070702
C,030300070703
C,030300070704
C,030300070705
C,030300070801
C,030300070802
C,030300070803
C,030300070804
C,030300070805
C,030300070806
C,030300070807
C,030300070808
C,030300070809
C,030402030206
C,030402030301
C,030402030302
C,030402030303
