SppCode_GAP,ComName_GAP,SciName_GAP,Xwalk_Notes,ComName_WRC,SciName_WRC,CA_4.2.10c,CA_4.2.11c,CA_4.2.12,CA_4.2.13c,CA_4.2.14,CA_4.2.8c,CA_4.2.9c,CT_4.4.1,CT_4.4.11,CT_4.4.13,CT_4.4.14u,CT_4.4.15,CT_4.4.16,CT_4.4.17h,CT_4.4.17s,CT_4.4.17w,CT_4.4.18,CT_4.4.8,CT_4.4.9,CW_4.3.10,CW_4.3.11,CW_4.3.2,CW_4.3.3,CW_4.3.4,CW_4.3.6,CW_4.3.7,CW_4.3.8,CW_4.3.9,CW_4.4.14w,MA_4.2.13a,MA_4.2.13b,MA_4.2.13c,MA_4.2.6a,MA_4.2.7a,MA_4.2.7b,MA_4.2.7c,MA_4.2.8a,MA_4.2.8b,MA_4.2.8c,MA_4.2.9a,MA_4.2.9b,MA_4.2.9c,MT_4.4.1,MT_4.4.10,MT_4.4.11,MT_4.4.12,MT_4.4.17h,MT_4.4.17s,MT_4.4.17w,MT_4.4.18,MT_4.4.2,MT_4.4.3,MT_4.4.4,MT_4.4.5,MT_4.4.6,MT_4.4.7,MT_4.4.8,MW_4.3.1,MW_4.3.10,MW_4.3.5,MW_4.3.9,PA_4.2.13b,PA_4.2.13c,PA_4.2.7b,PA_4.2.7c,PA_4.2.8b,PA_4.2.8c,PA_4.2.9b,PA_4.2.9c,PT_4.4.1,PT_4.4.10,PT_4.4.11,PT_4.4.13,PT_4.4.17h,PT_4.4.18,PT_4.4.5,PT_4.4.8,PT_4.4.9,PW_4.3.10,PW_4.3.5,PW_4.3.9,PT_4.4.17s,PT_4.4.17w,SA_4.2.13c,SA_4.2.7c,SA_4.2.8c,SA_4.2.9c,ST_4.4.1,ST_4.4.11,ST_4.4.13,ST_4.4.17h,ST_4.4.17s,ST_4.4.17w,ST_4.4.18,ST_4.4.9,SW_4.3.11,SW_4.3.4,SW_4.3.5,SW_4.3.7,SW_4.3.8,SW_4.3.9
mWFDEx,White-footed Deermouse,Peromyscus leucopus,represented as full species in GAP,Buxton Woods or Pungo White-footed Deermouse,Peromyscus leucopus buxtoni or P. l. easti,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mTBEBv,Virginia Big-eared Bat,Corynorhinus townsendii virginianus,,Virginia big-eared Bat,Corynorhinus townsendii virginianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mNFSQo,Carolina Northern Flying Squirrel,Glaucomys sabrinus coloratus,,Carolina Northern Flying Squirrel,Glaucomys sabrinus coloratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mEAPIx,Eastern Pipistrelle,Pipistrellus subflavus,represented as Pipistrellus subflavus in GAP,Tri-colored Bat,Perimyotis subflavus,X,X,X,,,X,,X,X,X,X,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,X,X,,X,X,X,,X,X,X,X,,X,X,X,,,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X,,,,,,X,X,X,X,X,,X,,X,,,X,,
mGRWOr,Red Wolf,Canis lupus rufus,,Red Wolf,Canis rufus,,,,,,,,,X,X,,,,X,X,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
mROVOc,Southern Rock Vole,Microtus chrotorrhinus carolinensis,,Southern Rock Vole,Microtus chrotorrhinus carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,X?,X?,X?,,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mLBMYx,Little Brown Myotis,Myotis lucifugus,,Little Brown Myotis,Myotis lucifugus,,,,,,,,X,X,X,X,X,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,X,X,X,X,X,X,,X,,,X,,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X,,,,,,,X,X,,,,X,,,,,,,
rEBTUx,Eastern Box Turtle,Terrapene carolina,,Eastern Box Turtle,Terrapene carolina carolina,,,,,,,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,X,,,,,,,,,,,,X,,X,,,,,,X,,X,X,,,,,,X,,X,X,X,,,,,X,,,
mNFSQx,Northern Flying Squirrel,Glaucomys sabrinus,,Northern Flying Squirrel,Glaucomys sabrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mNOMYx,Northern Myotis,Myotis septentrionalis,,Northern Long-eared Bat,Myotis septentrionalis,,,,,,,,,X,X,X,X,,X,X,,X,,X,X,X,X,X,X,X,,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mOLDEx,Oldfield Deermouse,Peromyscus polionotus,,Old-field Mouse,Peromyscus polionotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,
aGRSAx,Green Salamander,Aneides aeneus,,Green Salamander,Aneides aeneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aGRSIx,Greater Siren,Siren lacertina,,Greater Siren,Siren lacertina,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mEAWOx,Eastern Woodrat,Neotoma floridana,represented as full species in GAP,Eastern Woodrat (CP Pop.) or S. Appalachian Woodrat,Neotoma floridana floridana or N. f. haematoreia,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mTBEBx,Townsend's Big-eared Bat,Corynorhinus townsendii,,Townsend's Big-eared Bat,Corynorhinus townsendii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mINMYx,Indiana Myotis,Myotis sodalis,,Indiana Myotis,Myotis sodalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mNYBAx,Northern Yellow Bat,Lasiurus intermedius,,Northern Yellow Bat,Lasiurus intermedius,,,,,,,,,,,,,,,,,,,X,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aGYTRx,Gray Treefrog,Hyla versicolor,,Gray Treefrog,Hyla versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,X,,,X,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,
rAMALx,American Alligator,Alligator mississippiensis,,American Alligator,Alligator mississippiensis,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
rBLSSx,Black Swampsnake,Seminatrix pygaea,represented as full species in GAP,Carolina Swamp Snake,Seminatrix pygaea paludis,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rBOTUx,Bog Turtle,Glyptemys muhlenbergii,,Bog Turtle,Clemmys muhlenbergii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
rCHTUx,Chicken Turtle,Deirochelys reticularia,,Eastern Chicken Turtle,Deirochelys reticularia,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rCKINx,Common Kingsnake,Lampropeltis getula,represented as full species in GAP,Outer Banks Kingsnake,Lampropeltis getula sticticeps,,,,,X,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rCOACx,Coachwhip,Coluber flagellum,represented as Coluber flagellum in GAP,Eastern Coachwhip,Masticophis flagellum,,,,,,,,,,X,X,,,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rCOSKx,Coal Skink,Plestiodon anthracinus,,Coal Skink,Eumeces anthracinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rDBTEx,Diamond-backed Terrapin,Malaclemys terrapin,,Diamondback Terrapin,Malaclemys terrapin,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rEARIx,Eastern Ribbonsnake,Thamnophis sauritus,represented as full species in GAP,Common Ribbon Snake,Thamnophis sauritus sauritus,X?,X?,X?,X?,,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,X?,X?,X?,X?,X?,,,,,,,,,,,,,,,X?,X?,X?,X?,,,,,,,,,,,,,,
rEDBRx,Eastern Diamond-backed Rattlesnake,Crotalus adamanteus,,Eastern Diamondback Rattlesnake,Crotalus adamanteus,,,,,,,,,,X,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
