SppCode_GAP,ComName_GAP,SciName_GAP,Xwalk_Notes,ComName_WRC,SciName_WRC,CA_4.2.10c,CA_4.2.11c,CA_4.2.12,CA_4.2.13c,CA_4.2.14,CA_4.2.8c,CA_4.2.9c,CT_4.4.1,CT_4.4.11,CT_4.4.13,CT_4.4.14u,CT_4.4.15,CT_4.4.16,CT_4.4.17h,CT_4.4.17s,CT_4.4.17w,CT_4.4.18,CT_4.4.8,CT_4.4.9,CW_4.3.10,CW_4.3.11,CW_4.3.2,CW_4.3.3,CW_4.3.4,CW_4.3.6,CW_4.3.7,CW_4.3.8,CW_4.3.9,CW_4.4.14w,MA_4.2.13a,MA_4.2.13b,MA_4.2.13c,MA_4.2.6a,MA_4.2.7a,MA_4.2.7b,MA_4.2.7c,MA_4.2.8a,MA_4.2.8b,MA_4.2.8c,MA_4.2.9a,MA_4.2.9b,MA_4.2.9c,MT_4.4.1,MT_4.4.10,MT_4.4.11,MT_4.4.12,MT_4.4.17h,MT_4.4.17s,MT_4.4.17w,MT_4.4.18,MT_4.4.2,MT_4.4.3,MT_4.4.4,MT_4.4.5,MT_4.4.6,MT_4.4.7,MT_4.4.8,MW_4.3.1,MW_4.3.10,MW_4.3.5,MW_4.3.9,PA_4.2.13b,PA_4.2.13c,PA_4.2.7b,PA_4.2.7c,PA_4.2.8b,PA_4.2.8c,PA_4.2.9b,PA_4.2.9c,PT_4.4.1,PT_4.4.10,PT_4.4.11,PT_4.4.13,PT_4.4.17h,PT_4.4.18,PT_4.4.5,PT_4.4.8,PT_4.4.9,PW_4.3.10,PW_4.3.5,PW_4.3.9,PT_4.4.17s,PT_4.4.17w,SA_4.2.13c,SA_4.2.7c,SA_4.2.8c,SA_4.2.9c,ST_4.4.1,ST_4.4.11,ST_4.4.13,ST_4.4.17h,ST_4.4.17s,ST_4.4.17w,ST_4.4.18,ST_4.4.9,SW_4.3.11,SW_4.3.4,SW_4.3.5,SW_4.3.7,SW_4.3.8,SW_4.3.9
rGCRSx,Glossy Crayfish Snake,Regina rigida,,Glossy Crayfish Snake,Regina rigida,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aMCFRx,Mountain Chorus Frog,Pseudacris brachyphona,,Mountain Chorus Frog,Pseudacris brachyphona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rGSTUx,Green Sea Turtle,Chelonia mydas,,Green Sea Turtle,Chelonia mydas,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rHACOx,Harlequin Coralsnake,Micrurus fulvius,,Eastern Coral Snake,Micrurus fulvius,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rHSTUx,Hawksbill Sea Turtle,Eretmochelys imbricata,represented as full species in GAP,Atlantic Hawksbill Sea Turtle,Eretmochelys imbricata imbricata,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rKRSTx,Kemp's Ridley Sea Turtle,Lepidochelys kempii,,Kemp's Ridley Sea Turtle,Lepidochelys kempii,,,,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rLEATx,Leatherback Sea Turtle,Dermochelys coriacea,,Leatherback Sea Turtle,Dermochelys coriacea,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rLMTUx,Loggerhead Musk Turtle,Sternotherus minor,represented as full species in GAP,Stripe-necked Musk Turtle,Sternotherus minor peltifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rLOGTx,Loggerhead Sea Turtle,Caretta caretta,,Loggerhead Sea Turtle,Caretta caretta,,,,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMGLIx,Mimic Glass Lizard,Ophisaurus mimicus,,Mimic Glass Lizard,Ophisaurus mimicus,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMILKx,Milksnake,Lampropeltis triangulum,represented as full species in GAP,Scarlet Kingsnake or Coastal Plain Milk Snake,Lampropeltis triangulum elapsoides or L. t. temporalis,,,,,,,,,,X,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aNTLSx,Northern Two-lined Salamander,Eurycea bislineata,,Northern Two-lined Salamander,Eurycea bislineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,X,,,X,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,
aOCFRx,Ornate Chorus Frog,Pseudacris ornata,,Ornate Chorus Frog,Pseudacris ornata,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
rNMTUx,Northern Map Turtle,Graptemys geographica,,Northern Map Turtle,Graptemys geographica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,,,,,,,,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rNWATx,Northern Watersnake,Nerodia sipedon,represented as full species in GAP,Carolina Water Snake,Nerodia sipedon williamengelsi,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rPINEx,Pinesnake,Pituophis melanoleucus,represented as full species in GAP,Northern Pine Snake,Pituophis melanoleucus melanoleucus,,,,,,,,,,X,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rPRATx,Pygmy Rattlesnake,Sistrurus miliarius,represented as full species in GAP,Carolina Pigmy Rattlesnake,Sistrurus miliarius miliarius,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rPWLIx,Pine Woods Littersnake,Rhadinaea flavilata,,Pine Woods Litter Snake,Rhadinaea flavilata,,,,,,,,,,,,,,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rQUEEx,Queensnake,Regina septemvittata,,Queen Snake,Regina septemvittata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRASNx,Rainbow Snake,Farancia erytrogramma,represented as full species in GAP,Common Rainbow Snake,Farancia erytrogramma erytrogramma,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rSCARx,Scarletsnake,Cemophora coccinea,represented as full species in GAP,Northern Scarlet Snake,Cemophora coccinea copei,,,,,,,,,X,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rSGLIx,Slender Glass Lizard,Ophisaurus attenuatus,represented as full species in GAP,Eastern Slender Glass Lizard,Ophisaurus attenuatus longicaudus,,,,,,,,,,X,,,,X,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,X,X,,,,,,X?,X?,X?,X?,X?,,,,,,,,
rSHNSx,Southern Hog-nosed Snake,Heterodon simus,,Southern Hognose Snake,Heterodon simus,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,
rSMGRx,Smooth Greensnake,Opheodrys vernalis,,Smooth Green Snake,Opheodrys vernalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
